szembe4;5;5;3;5;3;6
szembe3;4;4;4;3;6;6
szembe2;4;5;5;6;5;4
szembe1;4;5;5;6;4;4
BM;5;4;4;6;6;4
CsT;7;7;4;6;6;5
jobb1;4;4;4;6;6;3
jobb2;4;5;4;5;5;3
AM;5;6;4;6;5;5
AMné;4;6;3;3;5;6
f.párja;4;5;6;6;5;3
fekete;4;5;3;3;7;4
